Starting...
temp =  68.0 mash time =  15 pump setting =  75 %
64.8 , 0.82 , 8.16
64.8 , 1.64 , 5.92
64.8 , 2.46 , 6.88
64.8 , 3.28 , 7.84
64.8 , 4.1 , 8.5
64.7 , 4.92 , 8.725
64.7 , 5.74 , 8.625
64.7 , 6.56 , 8.625
64.7 , 7.38 , 8.625
64.7 , 8.2 , 8.625
64.7 , 9.02 , 8.625
64.7 , 9.84 , 8.625
64.7 , 10.66 , 8.625
64.7 , 11.48 , 8.625
64.7 , 12.33 , 8.625
64.7 , 13.15 , 8.625
64.7 , 13.97 , 8.625
64.7 , 14.79 , 8.625
64.7 , 15.61 , 8.625
64.7 , 16.43 , 8.625
64.7 , 17.25 , 8.625
64.7 , 18.07 , 8.625
64.7 , 18.89 , 8.625
64.7 , 19.71 , 8.625
64.7 , 20.53 , 8.625
64.7 , 21.35 , 8.625
64.8 , 22.17 , 8.4
64.8 , 22.99 , 8.5
64.8 , 23.81 , 8.5
64.8 , 24.63 , 8.5
64.8 , 25.45 , 8.5
64.8 , 26.27 , 8.5
64.9 , 27.09 , 8.275
64.9 , 27.91 , 8.375
64.9 , 28.73 , 8.375
64.9 , 29.55 , 8.375
65.0 , 30.37 , 8.15
65.0 , 31.19 , 8.25
65.1 , 32.01 , 8.025
65.1 , 32.83 , 8.125
65.3 , 33.65 , 7.675
65.3 , 34.47 , 7.875
65.4 , 35.29 , 7.65
65.4 , 36.11 , 7.75
65.5 , 36.93 , 7.525
65.6 , 37.75 , 7.4
65.7 , 38.57 , 7.275
65.8 , 39.39 , 7.15
65.8 , 40.21 , 7.25
65.9 , 41.03 , 7.025
66.0 , 41.85 , 6.9
66.1 , 42.67 , 6.775
66.1 , 43.49 , 6.875
66.3 , 44.31 , 6.425
66.4 , 45.13 , 6.4
66.4 , 45.95 , 6.5
66.5 , 46.77 , 6.275
66.6 , 47.59 , 6.15
66.7 , 48.41 , 6.025
66.8 , 49.23 , 5.9
66.9 , 50.05 , 5.775
67.0 , 50.87 , 5.65
67.1 , 51.69 , 5.525
67.2 , 52.51 , 5.4
67.3 , 53.33 , 5.275
67.3 , 54.15 , 5.375
67.4 , 54.97 , 5.15
67.4 , 55.79 , 5.25
67.5 , 56.61 , 5.025
67.6 , 57.43 , 4.9
67.6 , 58.25 , 5.0
67.7 , 59.07 , 4.775
67.8 , 59.89 , 4.65
67.8 , 60.71 , 4.75
67.8 , 61.53 , 4.75
67.9 , 62.35 , 4.525
67.9 , 63.17 , 4.625
68.1 , 63.99 , 4.145
68.2 , 64.81 , 4.06
68.3 , 65.63 , 3.845
68.4 , 66.45 , 3.6
68.4 , 67.27 , 3.58
68.4 , 68.09 , 3.46
68.4 , 68.91 , 3.34
68.5 , 69.73 , 2.965
68.6 , 70.55 , 2.66
68.7 , 71.37 , 2.325
68.8 , 72.19 , 1.96
68.8 , 73.01 , 1.82
68.9 , 73.83 , 1.325
68.9 , 74.65 , 1.155
69.0 , 75.47 , 0.63
69.1 , 76.29 , 0.175
69.1 , 77.11 , -0.055
69.1 , 77.93 , -0.385
69.1 , 78.75 , -0.715
69.1 , 79.57 , -1.045
69.0 , 80.39 , -1.12
69.0 , 81.21 , -1.25
69.0 , 82.03 , -1.25
69.0 , 82.85 , -1.25
69.1 , 83.67 , -1.475
69.1 , 84.49 , -1.375
69.0 , 85.31 , -1.15
69.0 , 86.13 , -1.25
68.9 , 86.95 , -1.025
68.9 , 87.77 , -1.125
68.9 , 88.59 , -1.125
68.9 , 89.41 , -1.125
68.9 , 90.23 , -1.125
68.9 , 91.05 , -1.125
68.9 , 91.87 , -1.125
68.9 , 92.69 , -1.125
68.9 , 93.51 , -1.125
69.0 , 94.33 , -1.35
69.0 , 95.15 , -1.25
68.9 , 95.97 , -1.025
68.9 , 96.79 , -1.125
68.8 , 97.61 , -0.9
68.8 , 98.43 , -1.0
68.7 , 99.25 , -0.775
68.7 , 100.07 , -0.875
68.7 , 100.89 , -0.875
68.7 , 101.71 , -0.875
68.6 , 102.53 , -0.65
68.6 , 103.35 , -0.75
68.6 , 104.17 , -0.75
68.6 , 104.99 , -0.75
68.6 , 105.81 , -0.75
68.6 , 106.63 , -0.75
68.6 , 107.45 , -0.75
68.6 , 108.27 , -0.75
68.6 , 109.09 , -0.75
68.5 , 109.91 , -0.525
68.5 , 110.73 , -0.625
68.4 , 111.55 , -0.4
68.4 , 112.37 , -0.5
68.4 , 113.19 , -0.5
68.4 , 114.01 , -0.5
68.4 , 114.83 , -0.5
68.3 , 115.65 , -0.275
68.3 , 116.47 , -0.375
68.3 , 117.29 , -0.375
68.3 , 118.11 , -0.375
68.2 , 118.93 , -0.15
68.2 , 119.75 , -0.25
68.1 , 120.57 , -0.025
68.1 , 121.39 , -0.125
68.0 , 122.21 , 0.1
67.9 , 123.03 , 0.255
67.9 , 123.85 , 0.185
67.9 , 124.67 , 0.215
67.8 , 125.49 , 0.5
67.8 , 126.31 , 0.46
67.7 , 127.13 , 0.775
67.6 , 127.95 , 1.02
67.6 , 128.77 , 1.04
67.5 , 129.59 , 1.415
67.5 , 130.41 , 1.465
67.4 , 131.23 , 1.87
67.4 , 132.05 , 1.95
67.4 , 132.87 , 2.13
67.3 , 133.69 , 2.565
67.3 , 134.51 , 2.675
67.3 , 135.33 , 2.885
67.2 , 136.15 , 3.35
67.2 , 136.97 , 3.49
67.1 , 137.79 , 3.985
67.1 , 138.61 , 4.155
67.1 , 139.43 , 4.425
67.1 , 140.25 , 4.695
67.1 , 141.07 , 4.965
67.0 , 141.92 , 5.49
67.0 , 142.74 , 5.69
67.0 , 143.56 , 5.75
67.0 , 144.38 , 5.75
67.0 , 145.2 , 5.75
67.0 , 146.02 , 5.75
67.0 , 146.84 , 5.75
67.0 , 147.66 , 5.75
67.0 , 148.48 , 5.75
67.1 , 149.3 , 5.525
67.1 , 150.12 , 5.625
67.1 , 150.94 , 5.625
67.2 , 151.76 , 5.4
67.3 , 152.58 , 5.275
67.3 , 153.4 , 5.375
67.3 , 154.22 , 5.375
67.4 , 155.04 , 5.15
67.4 , 155.86 , 5.25
67.6 , 156.68 , 4.8
67.7 , 157.5 , 4.775
67.8 , 158.32 , 4.65
67.9 , 159.14 , 4.525
68.1 , 159.96 , 4.145
68.2 , 160.78 , 4.06
68.3 , 161.6 , 3.845
68.3 , 162.42 , 3.855
68.4 , 163.24 , 3.51
68.4 , 164.06 , 3.49
68.5 , 164.88 , 3.115
68.5 , 165.7 , 3.065
68.6 , 166.52 , 2.66
68.6 , 167.34 , 2.58
68.6 , 168.16 , 2.4
68.7 , 168.98 , 1.965
68.7 , 169.8 , 1.855
68.7 , 170.62 , 1.645
68.8 , 171.44 , 1.18
68.8 , 172.26 , 1.04
68.9 , 173.08 , 0.545
68.9 , 173.9 , 0.375
68.9 , 174.72 , 0.105
68.9 , 175.54 , -0.165
68.9 , 176.36 , -0.435
69.0 , 177.18 , -0.96
69.0 , 178.0 , -1.16
68.9 , 178.82 , -1.025
68.9 , 179.64 , -1.125
68.9 , 180.46 , -1.125
68.9 , 181.28 , -1.125
68.9 , 182.1 , -1.125
69.0 , 182.92 , -1.35
69.1 , 183.74 , -1.475
69.1 , 184.56 , -1.375
69.0 , 185.38 , -1.15
68.9 , 186.2 , -1.025
68.9 , 187.02 , -1.125
68.9 , 187.84 , -1.125
68.9 , 188.66 , -1.125
68.9 , 189.48 , -1.125
69.0 , 190.3 , -1.35
69.1 , 191.12 , -1.475
69.1 , 191.94 , -1.375
69.1 , 192.76 , -1.375
69.2 , 193.58 , -1.6
69.1 , 194.4 , -1.275
69.1 , 195.22 , -1.375
68.9 , 196.04 , -0.925
68.9 , 196.86 , -1.125
68.8 , 197.68 , -0.9
68.8 , 198.5 , -1.0
