Starting...
temp =  66.0 mash time =  10 pump setting =  75 %
65.9 , 142.71 , 0.105
65.9 , 143.53 , 0.035
65.9 , 144.35 , 0.065
65.9 , 145.17 , 0.095
65.9 , 145.99 , 0.125
65.8 , 146.81 , 0.41
65.8 , 147.63 , 0.37
65.8 , 148.45 , 0.43
65.8 , 149.27 , 0.49
65.8 , 150.09 , 0.55
65.7 , 150.91 , 0.865
65.7 , 151.73 , 0.855
65.7 , 152.55 , 0.945
65.6 , 153.37 , 1.29
65.6 , 154.19 , 1.31
65.6 , 155.01 , 1.43
65.6 , 155.83 , 1.55
65.6 , 156.65 , 1.67
65.6 , 157.47 , 1.79
65.5 , 158.29 , 2.165
65.5 , 159.11 , 2.215
65.5 , 159.93 , 2.365
65.5 , 160.75 , 2.515
65.4 , 161.57 , 2.92
65.4 , 162.39 , 3.0
65.4 , 163.21 , 3.18
65.4 , 164.03 , 3.36
65.4 , 164.85 , 3.54
65.4 , 165.67 , 3.72
65.4 , 166.49 , 3.9
65.3 , 167.31 , 4.335
65.3 , 168.13 , 4.445
65.3 , 168.95 , 4.655
65.3 , 169.77 , 4.865
65.3 , 170.59 , 5.075
65.3 , 171.41 , 5.285
65.3 , 172.23 , 5.375
65.3 , 173.05 , 5.375
65.3 , 173.87 , 5.375
65.3 , 174.69 , 5.375
65.3 , 175.51 , 5.375
65.3 , 176.33 , 5.375
65.3 , 177.15 , 5.375
65.3 , 177.97 , 5.375
65.3 , 178.79 , 5.375
65.3 , 179.61 , 5.375
65.3 , 180.43 , 5.375
65.3 , 181.25 , 5.375
65.3 , 182.07 , 5.375
65.3 , 182.89 , 5.375
65.3 , 183.71 , 5.375
65.3 , 184.53 , 5.375
65.4 , 185.35 , 5.15
65.4 , 186.17 , 5.25
65.4 , 186.99 , 5.25
65.4 , 187.81 , 5.25
65.5 , 188.63 , 5.025
65.5 , 189.45 , 5.125
65.6 , 190.27 , 4.9
65.6 , 191.09 , 5.0
65.6 , 191.91 , 5.0
65.6 , 192.73 , 5.0
65.6 , 193.55 , 5.0
65.6 , 194.37 , 5.0
65.7 , 195.19 , 4.775
65.8 , 196.01 , 4.65
65.8 , 196.83 , 4.75
65.9 , 197.65 , 4.525
65.9 , 198.47 , 4.625
65.9 , 199.29 , 4.625
66.0 , 200.11 , 4.4
66.0 , 200.93 , 4.5
66.1 , 201.75 , 4.245
66.1 , 202.57 , 4.315
66.1 , 203.39 , 4.285
66.1 , 204.21 , 4.255
66.2 , 205.03 , 3.97
66.2 , 205.85 , 4.01
66.3 , 206.67 , 3.695
66.3 , 207.49 , 3.705
66.3 , 208.31 , 3.615
66.4 , 209.13 , 3.27
66.4 , 209.95 , 3.25
66.4 , 210.77 , 3.13
66.5 , 211.59 , 2.755
66.6 , 212.41 , 2.45
66.6 , 213.23 , 2.37
66.6 , 214.05 , 2.19
66.7 , 214.87 , 1.755
66.7 , 215.69 , 1.645
66.8 , 216.51 , 1.18
66.8 , 217.33 , 1.04
66.8 , 218.15 , 0.8
66.8 , 218.97 , 0.56
66.9 , 219.79 , 0.065
66.9 , 220.61 , -0.105
66.9 , 221.46 , -0.375
